triple,url,Results,qid
"Douglas Adams, place of death, Santa Barbara",http://www.waymarking.com/waymarks/WMH912_Douglas_Adams_Highgate_East_Cemetery_London_UK,"                                            sentence   TextEntailment  \
0  Douglas was cremated in Santa Barbara and is b...  NOT ENOUGH INFO   
1  By the time of his death he had just finished ...         SUPPORTS   
2  He is buried in a grave, with a simple headsto...  NOT ENOUGH INFO   
3  They lived in Islington, London, UK but in 199...  NOT ENOUGH INFO   
4  He left his 6 year old daughter Polly, his wif...  NOT ENOUGH INFO   

   Entailment_score  Relevance_score  
0          0.711940         0.999871  
1          0.917683         0.262727  
2          0.983680         0.015588  
3          0.984399        -0.057354  
4          0.955212        -0.165301  ",Q42
"Douglas Adams, educated at, Brentwood School",http://www.brentwoodschool.co.uk/Notable-Old-Brentwoods,"                                            sentence   TextEntailment  \
0  A former studentwho had just graduated from un...  NOT ENOUGH INFO   
1  Old Brentwoods | Brentwood School Menu #WeAreB...  NOT ENOUGH INFO   
2  Located on Ashwells Road, Brentwood, is an exc...  NOT ENOUGH INFO   
3  In return, we'll update you with news of your ...  NOT ENOUGH INFO   
4  Whether you are presently a social member of t...  NOT ENOUGH INFO   

   Entailment_score  Relevance_score  
0          0.672634        -0.991315  
1          0.814657        -0.996250  
2          0.951580        -0.999235  
3          0.905295        -0.999578  
4          0.957882        -0.999622  ",Q42
"Douglas Adams, place of birth, Cambridge",http://www.theguardian.com/news/2001/may/15/guardianobituaries.books,"                                            sentence   TextEntailment  \
0  Adams was born in Cambridge; he joked that he ...         SUPPORTS   
1  He thus went to read English at St John's Coll...         SUPPORTS   
2  By the time he went to the direct-grant Brentw...  NOT ENOUGH INFO   
3  The family soon moved to the fringes of east L...  NOT ENOUGH INFO   
4    In 1999, he moved to Santa Barbara, California.  NOT ENOUGH INFO   

   Entailment_score  Relevance_score  
0          0.988555         0.999755  
1          0.904183         0.315196  
2          0.955903        -0.133363  
3          0.968014        -0.362884  
4          0.924301        -0.363704  ",Q42
"Douglas Adams, date of birth, 11/03/1952",https://www.findagrave.com/memorial/22814,"                      sentence TextEntailment  Entailment_score  \
0  Error: HTTP status code 403        REFUTES          0.961949   

   Relevance_score  
0        -0.999827  ",Q42
"Douglas Adams, date of death, 11/05/2001",https://www.findagrave.com/memorial/22814,"                      sentence TextEntailment  Entailment_score  \
0  Error: HTTP status code 403        REFUTES          0.755718   

   Relevance_score  
0        -0.999722  ",Q42
"Douglas Adams, occupation, screenwriter",http://www.jinni.com/tv/the-hitchhikers-guide-to-the-galaxy/cast-crew/,"                                            sentence   TextEntailment  \
0  Error: HTTPConnectionPool(host='', port=80): M...  NOT ENOUGH INFO   
1                            (connect timeout=10)'))  NOT ENOUGH INFO   

   Entailment_score  Relevance_score  
0          0.926226        -0.999838  
1          0.941427        -0.999854  ",Q42
"Douglas Adams, nominated for, Locus Award for Best Science Fiction Novel",https://www.sfadb.com/Douglas_Adams,"                                            sentence   TextEntailment  \
0  sfadb : Douglas Adams Awards Names Authors, No...  NOT ENOUGH INFO   
1                               All rights reserved.  NOT ENOUGH INFO   
2  This page last updated Wednesday 2 Feb 2022 at...  NOT ENOUGH INFO   

   Entailment_score  Relevance_score  
0          0.827223        -0.033492  
1          0.882386        -0.999821  
2          0.933056        -0.999846  ",Q42
"Douglas Adams, date of birth, 11/03/1952",https://www.isfdb.org/cgi-bin/ea.cgi?122,"                                            sentence   TextEntailment  \
0  In mare parte inofensiv [Romanian] ( 2005 ) Tr...          REFUTES   
1  Note: There are other authors with the same na...  NOT ENOUGH INFO   
2  Programma della funzione in sua memoria [Itali...  NOT ENOUGH INFO   
3  Der tiefere Sinn des Labenz: Das Woerterbuch d...         SUPPORTS   
4  Beau comme un aeroport [French] ( 2004 ) Trans...  NOT ENOUGH INFO   

   Entailment_score  Relevance_score  
0          0.723379         0.136745  
1          0.875472        -0.213095  
2          0.832743        -0.302926  
3          0.705003        -0.387972  
4          0.933874        -0.408310  ",Q42
"Douglas Adams, date of death, 11/05/2001",https://www.isfdb.org/cgi-bin/ea.cgi?122,"                                            sentence   TextEntailment  \
0  In mare parte inofensiv [Romanian] ( 2005 ) Tr...          REFUTES   
1  [Portuguese] ( 2014 ) Letter to David Vogel, W...          REFUTES   
2  Beau comme un aeroport [French] ( 2004 ) Trans...  NOT ENOUGH INFO   
3  Note: There are other authors with the same na...          REFUTES   
4  ( 1985 ) Author's Note (Dirk Gently's Holistic...          REFUTES   

   Entailment_score  Relevance_score  
0          0.621327         0.954259  
1          0.528550         0.258121  
2          0.934315         0.188258  
3          0.736371         0.186761  
4          0.486810         0.149892  ",Q42
"Douglas Adams, place of birth, Cambridge",http://www.telegraph.co.uk/news/uknews/1330072/Hitch-Hikers-Guide-author-Douglas-Adams-dies-aged-49.html,"                                            sentence   TextEntailment  \
0  Adams was born in Cambridge in 1952 and educat...         SUPPORTS   
1  Adams was British but moved with his family to...         SUPPORTS   
2  He married Jane Belson, a barrister, in 1991 a...          REFUTES   
3  Some of his early writing was with his friend ...  NOT ENOUGH INFO   
4  His early career included work as a radio and ...  NOT ENOUGH INFO   

   Entailment_score  Relevance_score  
0          0.993982         0.999896  
1          0.990059         0.150932  
2          0.733088        -0.616773  
3          0.880623        -0.694336  
4          0.973264        -0.811797  ",Q42
